all_ids,new_ids
ACALD,ACALD10
ACALDt,ACALDt11
ACKr,ACKr12
ACLS,ACLS13
ACONTa,ACONTa14
ACONTb,ACONTb15
ACt2r,ACt2r16
ADK1,ADK117
AKGDH,AKGDH18
AKGt2r,AKGt2r19
ALCD23xi,ALCD2320
ALCD2x,ALCD2x21
ATPM,ATPM22
ATPS4r,ATPS4r23
BIOMASS_Ecoli_core_w_GAM,BIOMAS24
CO2t,CO2t25
CS,CS26
CYTBD,CYTBD27
DHAD1,DHAD128
D_LACt2,D_LACt29
ENO,ENO30
ETOHt2r,ETOHt231
EX_ac_e,EX_ac_32
EX_acald_e,EX_aca33
EX_akg_e,EX_akg34
EX_co2_e,EX_co235
EX_etoh_e,EX_eto36
EX_for_e,EX_for37
EX_fru_e,EX_fru38
EX_fum_e,EX_fum39
EX_glc__D_e,EX_glc40
EX_gln__L_e,EX_gln41
EX_glu__L_e,EX_glu42
EX_h2o_e,EX_h2o43
EX_h_e,EX_h_e44
EX_ibutoh_c,EX_ibu45
EX_lac__D_e,EX_lac46
EX_mal__L_e,EX_mal47
EX_nh4_e,EX_nh448
EX_o2_e,EX_o2_49
EX_pi_e,EX_pi_50
EX_pyr_e,EX_pyr51
EX_succ_e,EX_suc52
FBA,FBA53
FBP,FBP54
FORt,FORt55
FORt2,FORt256
FRD7,FRD757
FRDx,FRDx58
FRUpts2,FRUpts59
FUM,FUM60
FUMt2_2,FUMt2_61
G6PDH2r,G6PDH262
GAPD,GAPD63
GLCpts,GLCpts64
GLNS,GLNS65
GLNabc,GLNabc66
GLUDy,GLUDy67
GLUN,GLUN68
GLUSy,GLUSy69
GLUt2r,GLUt2r70
GND,GND71
H2Ot,H2Ot72
IBUTCOA,IBUTCO73
ICDHyr,ICDHyr74
ICL,ICL75
KARA1,KARA176
LDH_D,LDH_D77
MALS,MALS78
MALt2_2,MALt2_79
MDH,MDH80
ME1,ME181
ME2,ME282
NADH16,NADH1683
NADTRHD,NADTRH84
NH4t,NH4t85
O2t,O2t86
OIVD2,OIVD287
PDH,PDH88
PFK,PFK89
PFL,PFL90
PGI,PGI91
PGK,PGK92
PGL,PGL93
PGM,PGM94
PIt2r,PIt2r95
PPC,PPC96
PPCK,PPCK97
PPS,PPS98
PTAr,PTAr99
PYK,PYK10
PYRDC,PYRDC11
PYRt2,PYRt212
RPE,RPE13
RPI,RPI14
SUCCt2_2,SUCCt215
SUCCt3,SUCCt316
SUCDi,SUCDi17
SUCOAS,SUCOAS18
TALA,TALA19
THD2,THD220
TKT1,TKT121
TKT2,TKT222
TPI,TPI23
